token,count_total,example_contexts,chapters_seen
casabihan,7,"Kaya nga't ipinalalagay ng mga punong macapangyarihang siya'y isang magaling na tao, cagandagandahan... | Kailan ma'y ipinagbibigay alam ng alferez sa iilang castilang sa kanya'y dumadalaw ang sumusunod na ... | Sinabi sa aking pinasasama ko raw ang mga bata; na sinasayang ko ang panahon; na hindi ako gumaganap...","11,19,31,34,42,6"
casabihang,7,"Kaya nga't ipinalalagay ng mga punong macapangyarihang siya'y isang magaling na tao, cagandagandahan... | Ngunit inaacala naming ito'y bintang lamang ng alferez; sapagkat ang casabihang ito'y cabalitaang gi... | —ang isinagot ng babaeng taglay ang tunay na pagpipighati;—casabihang hanggang sa icasampong oras ng...","11,14,24,35,42,6"
casal,7,"Hindi nagcasiya si Doña Pia Alba sa pamimili ng azucal, cafe at tina: ninais niyang magtanim at uman... | Doo'y kanilang nakita ang dalawang bangcang nagcacacabit, na mainam ang pagcacagayac ng mga pinagtuh... | "" Ang babaeng pinapanaguinip ang matimyas na lugod ng pagcabagong casal, inibig sumunod at sinabing;...","23,39,42,6,61,62"
inaacalang,7,"Taglay ng bawa't isa ang canicanicalang inaacalang icagagaling ng sariling pagcabuhay, at sa kanilan... | Ito'y isang culang palad na hindi nag-uutos, siya ang sumusunod; hindi nacapagmumura kanino man, siy... | —¡Hindi ko inaacalang magcaroon!...","11,20,33,40,49,59,6"
tinacpan,7,"Nahiya si Maria Clara at tinacpan ang mga mata, ng canyang mabibilog na mga brazo.... | Di caguinsaguinsa'y narinig ang isang tunog na nacabibingi; sumigaw ang mga babae at tinacpan ang ka... | Ngunit tinacpan ni Maria Clarang namumulang mainam ang bibig ni Sinang, at hindi itinulot na maipatu...","23,24,34,56,58,61,7"
carreton,7,"Ang ingay ng sagwang humahalo ng malabong tubig ng ilog, ang dagundong ng pagdaan ng mga coche at mg... | Nakikisaliw sa malungcot at di nagbabagong anyo ng awit ng namamatnugot na nacasacay sa calabaw ang ... | Sa labas ng bayan ang nangyayari nama'y nabibihis ang mga tagabundoc ng lalong magagaling nilang pan...","26,48,57,7,8"
ciudad,7,"¡Pagcaramiraming malalaking mga ciudad na may pagcaramiraming magagandang mga babae!...... | Sa dakong calunuran, sa gitna ng mga palaya'y naroroon, hindi ang ciudad, kung di ang nayon ng mga p... | Nadidilidili naman ng camahalan niyang kinailangang siya'y magpatulo ng maraming pawis at magcahirap...","12,25,31,37,42,59,7"
capalarang,7,"Nang magcagayo'y tinangnan ko ang iyong kamay at ang kamay ng aking ina, nanumpa akong sisintahin ca... | Itulot nga ninyong ako ang maunang magsalita sa pulong na itong kinakikitaan ko ng mga nalilimping t... | Diya'y nagtamo caming capalarang pangguilalasan, hindi lamang ang lubhang mahahalagang casangcapan a...","20,28,29,42,46,62,7"
Bucas,7,"Bucas ang fiesta ng mga namatay.... | —Bucas, bago magbucang liwayway, magaganap ang hangad mo.... | Hayag nga at talastas ng lahat na sa araw na ito'y cafiestahan ng Virgen de la Paz (Virgen ng Capaya...","22,28,34,35,39,51,7"
caisipang,7,"Tunay nga't cacaunti ang mga caisipang sa kanya'y iniaral, ngunit hindi ang mga walang cabuluhang pa... | Tunay nga't cacaunti ang mga caisipang sa kanya'y iniaral, ngunit hindi ang mga walang cabuluhang pa... | Nangagliliparan ang mga caisipang ito sa alang-alang na pag-itang mula sa sahig na kinalalatagan ng ...","16,19,42,45,49,8"
tagac,7,"Sa mga capatagan, sa mga malilinis na lupang pinaghahalamanan ay nanginginain ang mga hayop na kasam... | At saka idinugtong, samantalang, humahanap ng panaling damit, tubig, suca, at balahibong maliliit ng... | Muling tinitigan niya, sa pagpapasalamat, ang langit na pinagdaraanan ng isang cawan ng mga tagac, i...","17,21,23,24,8"
pumapanhic,7,"Bumalic tayo sa Maynila samantalang gumugulong ang coche't nagpapaguiray-guiray, tulad sa isang lasi... | Nacapangingilis ng canyang mga ugat ang canyang mga pag-aayuno at pangingilin ng pagcain ng mga lama... | Umalis sa simbahan, pagkatapos na masundan ng isang titig na may habag ang dalawang batang pumapanhi...","11,14,18,40,54,59,8"
nanhic,7,"Tinungo ang hagdanan at nanhic doon si pari Damasong nacatungo ang ulot't madalang-dalang ang hacban... | Hindi niya pinansin ang masarap na amoy-chocolate, at gayon ding di niya inino ingay ng mga cajon at... | Di caguinsaguinsa'y nanhic sa maliit na hagdan, linampasan ang pangalawang saray, na kinalalagyan ng...","15,19,54,56,9"
pagpasoc,7,"—ang siyang bati ng batang dominico pagpasoc.... | Sa horas ng pagpasoc namin ay binugaw ang mga hayop; ang mangisangisang baboy lamang, hayop na mahir... | Huminto ang mga alingawngaw pagpasoc niya; bawa't isa'y naupo at untiunting naghari ang catahimican....","12,20,37,46,57,9"
buloc,7,"Pinananaligan na ng taong siya'y ""encantado"", ng maino ng mga pastol ang isang caangutang nagbubuhat... | Ang mga culiglig ay humuhuning hindi nagbabago ang tinig at isinasaliw ang kanilang walang humpay at... | Ito'y iba pang mga bagay ang inilalagay ng hindi mapaniwalaing filosofo sa bibig ng mga may buloc na...","10,16,32,56,60"
nacasabit,7,"Lumulucso ang calolowa sa catuwaan pagcakita ng nacasabit sa bawa't liig na apat o limang mga escapu... | Sa isang dulo ng salas na napapapamutihan ng maruruming mga ""cortinang"" pula, natatago ang larawan n... | Doo'y kanilang nakita ang dalawang bangcang nagcacacabit, na mainam ang pagcacagayac ng mga pinagtuh...","11,20,23,26,50,54,62"
cordon,7,"Nacatipon ang sacristan mayor ng isang mabutibuti ng puhunan, sa pagbibili o sa pagpapalimos, sa pag... | Siya lamang ang tangi, sa pagka't sinasabi ng mga babae na tumatacas daw sa cura ang diablo, dahilan... | Huwag po ninyong acalaing dahil sa pinawawal-ang halaga ng mga dominico at agustino ang guinggong ha...","11,25,31,38"
nagcucruz,7,"Kailan mang dumarating sa tainga ni pari Salvi ang mga escandalong ito, siya'y ngumingiti at nagcucr... | Humalakhac ang maglilibing ng canyang makitang samantalang umaalis ay nagcucruz.... | Isang kidlat na may casunod agad agad na isang maugong na culog ang siyang nagpatindig kay Doray na ...","11,12,14,23,44,54,63"
cahuluga'y,7,"ang cahuluga'y malapot, at malabnaw pagka chocolate ¿ah?... | Gayon ma'y hindi sumasampalataya ang mga protestante sa Purgatorio, at gayon din ang mga paring grie... | Ako ang naunang nagsalita, baga man lalong may carapatang mangauna sa akin ang mga caumpoc dito, ngu...","11,14,20,27,33,34,54"
tumbalic,7,"Sinasaysay ng mga historiador na sinasamba at dinidios nila ang kanilang mga nuno at magugulang; nga... | Nang mag abot na ang dalawang pulutong, ang mga babae ay siyang nag-anyong hindi makibuin at matimti... | —Iniligtas ninyo ang aking buhay—ang sinabi nito sa wikang tagalog, dahil sa pagcamasid niya sa kilo...","12,23,33,44,59,60"
bacod,7,"Isang pintuang kahoy, at isang bacod na ang calahati'y bato at ang calahati'y cawayan ang tila mandi... | Sa horas ng pagpasoc namin ay binugaw ang mga hayop; ang mangisangisang baboy lamang, hayop na mahir... | Lumapit sa bacod ang dalawang magcapatid na capuwa malungcot, itinuon ang kanilang noo sa cawayan at...","12,46,52,54"
catotohana'y,7,"Sa papaano mang bagay, ang catotohana'y sinasabi na ni Zarathustra ang isang bagay na nawawangis sa ... | Pinagcalooban siya marahil ng Langit ng ilang horas na pagcacatulog, at samantalang siya'y nahihimbi... | Ngayon din ay paparoon ako sa cura't aking bubucsan sa kanya ang nilalaman ng aking puso, sa pagka't...","14,21,25,30,38,42,51"
sicat,7,"Hindi ko sinasaysay ang mga, religion ng mga bayan ng Ibaba ng Europa: ang mga religiong ito, palibh... | ¡Pagka naliwanagan ng sicat ng araw ang carumaldumal na anak ng mga cadiliman, kung magcagayo'y dara... | Napagtanto rin namang nakinig ng misa si Ibarra, at ang lalaking naninilaw ay hindi; ito'y maliwanag...","14,25,32,39,54,55,62"
iniuucol,7,"Hindi siya nagsisiyam, hindi siya marunong ng mga ""jaculatoria"", ng mga tula at ng mga ""oremus,"" na ... | —¡Ititic po ninyo, ginoong director, ang dalawang daang pisong iniuucol sa teatro!... | —Sa pagka't hindi ko iniuucol ang aking sinusulat sa mga taong nabubuhay ngayon; sumusulat ako at ng...","16,20,25,28,32,46,53"
vaca,7,"Paggaling ko'y pagdaca'y makikipagkita ako kay Don Crisostomo, at ipakikiusap ko sa canyang ako'y ta... | Magpapastol ako, at kung aking alagaang magaling ang ipagcacatiwala sa akin, ako'y calulugdan ng may... | Macapangangahoy naman ako upang maipagbili o maialay sa may-ari ng mga vaca, at sa ganya'y matotowa ...","17,23,50,58"
sacristia,7,"Umalis ang cura sa sacristia upang tumungo sa convento; sa silong nito'y nangacaupo sa bangco ang pi... | Nalalaman po ba ninyo kung na sa sacristia.... | Sa cawacasa'y dumating ang Alcalde na kasama ang canyang Estado Mayor, (ang mga ginoong sa kanya'y u...","18,30,31,35,55"
casaysayan,7,"Kung sabihin ko po sa inyo ang mga cadahilana'y cailangang magsalita ako ng isang mahaba at nacayaya... | Sa pagka't hindi manyaring sila'y aking maturuan ng wikang kastila, at hindi ko rin naman maisatagal... | Lubhang naibigan ng mga indio at lalong-lalo na ng gobernadorcillo ang comediang tagalog: nagpakita ...","19,28,49,50"
cataimtiman,7,"—Huwag po ninyong ipalagay na ang tanong ko'y dahil sa isang hangad na walang catuturan—ang muling s... | —ang sagot ng naging seminarista ng boong cataimtiman;—may naringig akong sinasabing isa raw dukhang... | Namunga ang gayong gawa: binitiwan ng matandang babae ang bacya, nagbubulong at pagkatapos na macapa...","19,23,31,35,37,43"
caharap,7,"Itulot nga ninyong ako ang maunang magsalita sa pulong na itong kinakikitaan ko ng mga nalilimping t... | Ang pagmagat ng isa'y Ang pag-hahalal ng Gobernadorcillo, ito'y isang comediang patupatuloy ang pana... | —ang inulit ng alferez na canyang minamasdan ang mga caharap....","20,24,52,58"
catacottacot,7,"Ang palalong pasimulang ito ang siyang nacapuspos ng galit sa calooban ng mga conservador, na nagsis... | Sumipot doon ang alferez na namumutla't marilim ang mukha; napanood ang doo'y nangyayari at ibinulus... | Sila nga'y napacasal o nagsiluan ang isa't isa, at na pa sa Santa Ana sila at ng doon nila lasapin a...","20,39,42,45,54,58,63"
comediang,7,"—¿Ano ang mahihita natin sa isang linggong comediang hinihingi ng teniente mayor?... | Ang pagmagat ng isa'y Ang pag-hahalal ng Gobernadorcillo, ito'y isang comediang patupatuloy ang pana... | ang ibig ng cura'y ... anim na procesion, tatlong sermon, tatlong malalaking misa ... at kung may lu...","20,26,28"
principe,7,"¿Ano baga ang princesang iyang nakikihalobilo sa mga paghahamoc, namamahagui ng taga at ulos, nakiki... | Kinalulugdan natin, ayon sa ating caugalian, ang catamisan at ang pagcamasintahin ng babae, at manga... | Ang ganitong pangungusap nga ang siyang marapat ilagda sa dinaramdam, o ating dinaramdam pagka nauuc...","20,28,30,40"
casacunaan,7,"Tumatacbo si Sisang patungo sa canyang bahay, taglay iyong caguluhan ng bait na nangyayari sa ating ... | Nakita siya kinabucasan ng alferez, at sa pagcaibig na siya'y maipangilag sa ano mang casacunaan sa ... | Linisan ng banal na religioso ang mga catamisan ng pagcahimbing, na tinatamasa ng lahat ng magandang...","21,39,40,41,45,46,49"
casagutan,7,"Nang mag abot na ang dalawang pulutong, ang mga babae ay siyang nag-anyong hindi makibuin at matimti... | Hindi nagcamit casagutan ang maliit kong papel sa loob ng mahabang panahon, hanggang sa cawacasa'y i... | Hinanap ng mga babae sa mukha niya ang casagutan sa maraming tanong; datapwat nagbabalita ang mukha ...","23,25,36,45,51,54"
pagcalakilaking,7,"Nahuhulog sa canyang malusog na liig ang canyang mga buhoc na maiitim, mahahaba at hindi inaalagaan;... | Doon sa caitaasan, sa lilim ng mga anino ng mga malalaking kahoy, ng mga guirnalda at ng mga bandera... | Doon sa caitaasan, sa lilim ng mga anino ng mga malalaking kahoy, ng mga guirnalda at ng mga bandera...","23,32,37,49,50,58"
pinagcacautangan,7,"—¡Kayo ang pinagcacautangan ko ng aking buhay!... | Sinisinta ko ang aking tinubuang lupa, ang Filipinas, sa pagka't siya ang pinapacacautangan ko ng bu... | At tumingin sa paliguid niya't nagsalita;—Makinig muna kayo, ¿mayroon bagang isa man lamang sa inyo ...","23,25,34,49,59"
geroglifico,7,"—ang biglang sinabing nangguiguilalas; guinagamit po ba ninyo ang inyong panahon sa pagsisiyasat kun... | —ang isinagot ng matandang lalaki, at tuloy nag-alay sa kanya ng isang ""silla"";—hindi nacacawatas ak... | —¿Sumusulat po kayo ng mga ""geroglifico""?...","25,39"
cahalagahan,7,"¿Anong cahalagahan sa kanya ng pagkilalang loob o ng mga sumpa ng isang bayang hindi niya kilala, na... | Napag-uunawa ni Ibarra ang cahalagahan ng mga salitang ito; datapwat hindi siya macapanglulupaypa'y;... | Tila mandin walang sinadya ng nagbibigay paroon kung di bantayan si Maria Clara, na ang tinataglay n...","25,40,42,49,54,58"
musicang,7,"""Ng icasiyam na oras ng gabi ng araw na icasampo nitong buwan, araw na sinusundan ng fiesta, pagkata... | Diya'y nagtamo caming capalarang pangguilalasan, hindi lamang ang lubhang mahahalagang casangcapan a... | Dahandahan nga at matimtiman ang lacad ng procesiong inaacbayan ng ugong ng mga bomba at ng tinig ng...","28,29,32,36"
caraingan,7,"nalalaman ko na; ¡ito ang pagtatapon, ang maruming paggagalac upang matacpan ang mga caraingan ng la... | Ipasabi po ninyo ang gayon din sa alferez na siyang nag-uutos dito sa ""seccion"", at inyo pong siyasa... | Nangangatal ang voces at bumubunglos ng mga luha: higuit sa isang pagbati, ang sinasaysay niya'y isa...","29,37,38,45,49"
Cura,7,"Malaking di ano lamang ang galac ng mga magugulang; baga man sila'y abang mga tagabukid, sa pagka't ... | ¡Hinihintay ng Cura!... | —Iniabot ni Ibarra ang isa pang cucharang pilac sa Cura, na ng macatitig na sumandali sa kanya'y mar...","32,34,40"
nacatayo,7,"Hindi niya sinasadya'y tinungo ng canyang mga mata ang cacaibang mga andamio na doo'y nacatayo; naki... | Na sa paliguid ang mga iba, nacatayo at pawang nacapugay, napacalaki ang kanilang catahimican, na an... | Nang mapawi-pawi na ang sumilacbong alicaboc, nakita nilang nacatayo si Ibarra sa gitna ng mga cahab...","32,37,40,52"
capapalo,7,¡Pagmasdan ninyo kung paano ang pagtaba ni pari Damaso sa canyang capagmumura at capapalo!... | —ang isinigaw;—¡sayaw o papatayin cata sa capapalo ng latigo.... | —ang isinagot ni Elias ng boong cahinhinan;—ang namamatnugot ng gayong kilusa'y magcapatid na nangul...,"34,39,41,46,55,56"
sumasacatuwiran,7,"—Hindi gayon naman ang aking acala, sabihin na ninyo ang ibig ninyong sabihin; at kahi man tila mand... | Capuwa kayo sumasacatuwiran; sumasacatuwiran ang cura, datapwat ¡dapat ding magcaroon ng catuwiran a... | Capuwa kayo sumasacatuwiran; sumasacatuwiran ang cura, datapwat ¡dapat ding magcaroon ng catuwiran a...","35,47,53,59"
confesion,7,"Hinihipo ng isa ang canyang bisig at humihing ng confesion; cahabaghabag na mga taghoy ang lumalabas... | Basahin ninyo ang mga banal na libro, at inyong makikita kung gaano ang mga sakit na napagaling sa p... | —Ipatawad po ninyo,—ang itinutol ni doña Victorina na nag-init,—ang tungkol diyan sa kapangyarihan n...","40,44,54"
casamaan,7,"—Sumasang-ayon akong mayroon ngang mga casamaan,—ang isinagot ni Ibarra, ngunit tinatanggap nating a... | ¡Narito ang casamaan ng hindi pagtuturo ng casaysayan ng mga nangyari sa bayan!... | Dahil po bagang guinawan tayo ng malaking cagalinga'y maguiguing casalanan na natin ang sumansalang ...","49,50,58"
Ciceron,6,"Ah, kung pinag-aralan lamang ni kapitan Tiago si Ciceron!......... | ""Cedant arma togæ"", ani Ciceron sa Senado; ""cedant arma cotae"" anang mga fraile sa Filipinas.... | Iniisip ng aking isip na ako'y sumasaguitna ng cagalanggalang na Senado romano, ""senatus populusque ...","2,20,3,31,62"
Cabo,6,"Nagsuot lalaki at lumigid sa ungos ng Cabo, sa pagparito, at humarap sa Ilustrisima na hinilingang t... | —Tumingin kayo roon—ang sabing marahan, matapos na maunawang walang ibang tao:—alinsunod sa Cabo na ... | Tila isang linggo silang nagtatalo, ipinaglaban at ipinagtanggol niya ang ating usap ng laban sa lah...","14,21,3,34,42"
cola,6,"—Sa taong darating ay magsusuot ka na ng de cola at paparoon ka sa Maynila, upang mag-aral na gaya n... | Ang suot ay isang mainam na kagayakang sutla; mahaba ang cola, na may burdang bulaklak na namumukod ... | Nasasalas ang mangagsisicain, sa gitna ng lubhang malalaking mga salamin at na ngagniningning na mga...","1,3,35,4,44,47"
procurador,6,At akay ng isang kasawian at parang sa usapin ay natataya ang kaniyang kabuhayan sa araw ng bukas at... | Ngunit siya’y inaantay ni kabisang Andang upang pagsabihan ng binalak: ang matandang babai’y patutul... | Nang tinuran nito sa kaniya na makikiusap sa procurador ng mga agustino ay hindi tumutol ni humadlan...,"19,25,4,58,9"
corporacion,6,Noon nakita ang isang labanang hindi pa namamasdan sa silong ng langit ng Pilipinas: ang sa isang ma... | Yaon ay isang parusa ng langit sa lahat ng mga lumalaban sa mga utos ng kaniyang “corporacion”.... | Kung doon dinadala ng mga corporacion ang lahat ng kanilang salapi ay dapat na lumakad na mabuti ang...,"19,22,26,30,4,9"
alcalde,6,"Inakala na ng mga may kapangyarihan sa lalawigan na may maaalis sa katungkulan o kaya’y malilipat; a... | Umulan ang mga paratang, isinumbong na siya'y filibustero at hereje: ang maguing ""hereje"" ay isang c... | "" Lagui ng may handa siyang mga orquesta upang bumati at tumapat sa kanino mang mga gobernador, mga ...","11,19,20,25,4,6"
C,6,", ang Provincial C.... | Sa mga unang buwan ng kaniyang pagdating ay wala nang nababanggit kundi ang Madrid, ang kaniyang mab... | —¡Sa heto pala ang aking pasiya, C.!...","14,20,21,26,42"
provincial,6,"Gayon di’y naging kagawad ng Junta Central sa pagbabakuna, na binubuo ng tatlong manggagamot at pito... | Sa bilin ng isang provincial na kaibigan niya, ay ipinagbawal ni Quiroga sa kaniyang mga bahay na pi... | Nang dumating sa pook na pinangyarihan, ay napamangha siya nang makita na ang nasugatan, ay dili iba...","20,25,28,36,58,9"
caida,6,"Sa gitna ng katahimikang naghahari sa bahay, na nabubulahaw lamang sa ilang mahinang paghihilik na g... | Ang malaking caida, na nahiyasan ng mga bulaklak, ay siyang naging kakainan, isang malaking dulang n... | —Kung pumanhic tayo'y agad nating mararating ang isang malowang na tahanang kung tawaguin doo'y ""cai...","1,23,34,43"
calakhan,6,"—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pam... | Sa calakhan ng pagcabantog ni Pari Damaso'y ipinag-pauna na ng corresponsal ang pagsulat namamatnugo... | Itinititic namin ito at baka sacaling banal na bumabasang nagcacailangan ng gayong mga mahal na ""rel...","1,29,32,42,58"
nacacatulog,6,"Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng calacal at taong nagpap... | Namasid ng mga cacampi ni Kapitang Tiago, na si Doña Patrocinio'y nacacatulog samantalang nagsesermo... | Pabayaan nating maglacbay ang binatang nagdidilidili o nacacatulog: ang hiwagang malungcot o masaya ...","1,24,31,34,6,8"
macapagsasabi,6,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagcacaanyo; kung hindi napa... | —Ako, sa halimbawa—ang patuloy na pananalita ni Fr. Damaso, na lalong itinaas ang voces at ng di na ... | Marahil nga nama'y ako ang tunay na baliw at sila ang mga tino, ¿sino ang macapagsasabi?...","1,25,34,39,53"
caguinhawahan,6,"Kung sa aking kaibigan lamang at sa aking sariling caguinhawahan, hindi cata papagalin sa pagsasaysa... | Bago ko paroonan ang isang lupain, pinagsisicapan kong matalos ang canyang historia, ang canyang Exo... | Tumupad na ang mga mayayaman at ang mga nacacacaya sa pagcabuhay sa mga nagpamana sa kanila ng cagui...","1,16,3,42"
acalain,6,"Sa panonood ng mga calagayang iyong umaakit sa pagcacagana sa pagcain at naguudyoc ng ucol sa paglas... | Sa pagmamasid ng pagtanggap niya ng aso ng incienso, masasabing totoo nga ang sabi ni Galeno, na nan... | at o ng paghinto dakilang iniunat niya ang canyang canang kamay sa dakong altar at tumitig sa Alcald...","1,30,31,32,42,49"
catolico,6,"Halos puno ng tao ang salas: hiwalay ang mga lalaki sa mga babae, tulad sa mga sambahang catolico at... | —Kung ang mga catolico lamang ang tanging mapapacagaling, at lima lamang sa bawa't isang daang catol... | —Kung ang mga catolico lamang ang tanging mapapacagaling, at lima lamang sa bawa't isang daang catol...","1,14,25,29"
binubucsan,6,"Ang mga babae ay ilang mga dalagang ang iba'y filipina at ang iba'y española: binubucsan nila ang bi... | —ang kiming sinalita ng isa sa mga naroroong cawani ng gobierno, na mahinhin ang anyo at hindi binub... | Pagmasdan po ninyo ngayon kung paano ang pagsilang ng ating mga poeta; binubucsan sa ating unti unti...","1,34,53,54,56,62"
abanico,6,"Ang mga babae ay ilang mga dalagang ang iba'y filipina at ang iba'y española: binubucsan nila ang bi... | Ang mga panghiningang ito'y may mga anyong ""abanico,"" kung minsa'y katulad ng mga pinagsalitsalit na... | Gayon man, pagka siya'y inaalayan ng masasayang mga aglahi'y tinatacpan niya ang canyang mukha ng ab...","1,26,27,34,40"
sasacyan,6,"Umaaticabong nangagsasalitaan ang ilang mga cadete; ngunit mahihina ang voces, sa isa sa mga suloc a... | Sa pagka't kinacailangan niyang mabuhay, at hindi pahintulot sa kanya ang magtrabajo ng mabigat na m... | Samantala'y dumating sila sa bangca; itinali ng matandang bangkero ang mga sasacyan sa isang tolos n...","1,23,31,4,42"
saclap,6,"Datapwat si Fray Damaso'y hindi mahiwagang gaya nila; siya'y masaya, at kung pabug-al bug-al ang can... | Baga man pinagsisicapan kong magdamot ng pamamalo, at kung namamalo man ako'y pinagagaang ko hanggan... | —ang biglang sinabi ni don Filipo ng boong saclap,—mangyayari nga ang gayon samantalang ganyan ang p...","1,19,35,38,41,59"
masilacbong,6,"Ang isa sa mga paisano'y isang taong malingguit, maitim ang balbas at walang ikinatatangi kung di an... | Pumaroon po kayo kay ginoong M—, na masilacbong manalumpati, taga España at lubhang kinaaalang-alang... | Napagkilala nito na ipinagcanulo niya ang sariling katawan; nahiya at palibhasa'y hindi sa babae ang...","1,39,4,40,49,59"
pinagcaratihan,6,"—¡Ni iba pang lalong napacasama ng asal na pinagcaratihan, ni iba pang lalong hindi marunong cumilal... | Baga man hindi sinasadya'y capuwa tumungo ang dalawang fraile sa duyo o ulunan ng mesa, marahil sa p... | Nagpapadala sa ibang mga bayan ng asucal, bigas, cafe at mga bungang halaman, o ipinagbibili kaya ng...","1,10,20,25,28,3"
cumilala,6,"—¡Ni iba pang lalong napacasama ng asal na pinagcaratihan, ni iba pang lalong hindi marunong cumilal... | Taglay iyang paglacad na hindi nangagcacawangis ang hacbang, na siyang nagpapakilala sa natitilihan ... | At ang lahat ng pagsusumicap na ito at itong lahat na pagpapagal ay dahil sa panauhing kilala o hind...","1,26,4,45,49,58"
Capisanan,6,"Sa ganang akin lamang naman, dinaramdam kong iwan ang Camiling, gayong iilang buwan akong natira roo... | —Kung nangyari ito sa ibang panaho'y kinaladcad sana siya ng pababa sa hagdanan, tulad ng minsa'y gi... | —Unawaing sa icagagaling ng ating Santong Capisanan—ang idinugtong na naghihirap ng paghinga....","1,38,58,9"
Canyang,6,"Ang ""Canyang Carilagan,"" (o ang marilag na Gobernador General) ang pinacacatawan ng Canyang Macapang... | Ang ""Canyang Carilagan,"" (o ang marilag na Gobernador General) ang pinacacatawan ng Canyang Macapang... | —ang sigaw ng tenienteng nagbabala at wari'y mandin ay nag-uutos sa canyang mga sundalo;—¡o inyong p...","1,21,40,8"
paglibac,6,"—ang sagot ng boong paglibac ni Fr. Damaso, na lumapit sa tenienteng nacasuntoc ang kamay.... | Nang magcagayo'y sumagot si pari Salvi ng madalang na pananalita, taglay ang malupit na paglibac.... | —ang patuloy na paglibac ng babae, na tila mandin nacatapos na ng pagtatayo ng caniyang pangsangalan...","1,24,39,50,58,60"
macailan,6,"; opo, totoong carapatdapat; siya'y macailan kong nacapanayam, at tumuloy ako sa canyang bahay.... | Ayawan kong nahiwatigan ni Pari Damaso ang gayong bagay o baka kaya naman talagang namamaos pa, data... | Namunga ang gayong gawa: binitiwan ng matandang babae ang bacya, nagbubulong at pagkatapos na macapa...","1,31,39,59,63"
tinalicdan,6,"At tinalicdan ang franciscano at nagpatuloy ng pananalita:... | —ani Tasio sa wikang kastila, tinalicdan ang capitan at tumungo sa simbahan.... | Isang taong gaya ko, na guinamit ang canyang kabataan at ang canyang cagulangan sa pagpapagal at ng ...","1,14,45,50,59"
capisanang,6,"Untiunting nanag-uli ang capisanang iyon sa dating catahimican.... | Wala sa canyang convento ang pantas na dominico; maagang maaga, pagcapagmisa, siya'y napatungo sa co... | Gayon ma'y dapat kayong magpacaingat sa hinaharap na panahon; nakipagtunggali kayo ng paharapan sa m...","1,37,46,49,55,9"
capalaluan,6,"—At ng icalabing-apat na siglo at hindi ng icapito—ang idinugtong ng dominico, na ang anyo'y parang ... | At ikaw, Religiong ilinaganap na talagang ucol sa sangcataohang nagdaralita, ¿nalimutan mo na kaya a... | madali na darasin an paghuhucom, matatapos an mundo, marami mana santo an huhula nito uulan nan apoy...","1,16,31,42,45,59"
naca,6,"Hindi magaganda at mabubuting bihis na mga dalaga upang pansinin ng lahat, sampo ni Fr. Sibyla; hind... | Sa malapit sa simbaha'y nasalubong niya ang isang taong naca chaqueta ng alpaca at daladala sa kamay... | Talos niyang siya'y maganda, na siya'y may pagka anyong reina at malaki ang cahigtan niya kay Maria ...","14,2,39,53,54,57"
pacasal,6,"—Tumelegrama kami sa ""Peñinsula"" ng kami'y pacasal.... | Dahil sa ang ibig niya ang isang castilang hindi napacapilay, hindi totoong utal, hindi lubhang upaw... | Sacali't hindi, ¡huwag po ninyong bayaang pacasal sa inyong anak, huwag po ninyong ipahintulot!...","3,42,47,51,58,61"
conciencia,6,"Sinasabi sa akin ng aking ""conciencia"" na sa loob ng kaya'y dapat akong humalili sa taong aking pina... | hindi nacatitigatig ang mabait na Dios ng mga conciencia at ng pagcacatulog ng mga mamamayan doon: h... | "" Hindi hinahanap sa maestro sa escuela ang marunong at masipag magturo; ang hinihingi lamang sa kan...","11,19,4,44"
macapagbibigay,6,"Sinasabi sa akin ng aking ""conciencia"" na sa loob ng kaya'y dapat akong humalili sa taong aking pina... | Pinupuri ng mga musico ang canyang marcha funebre ""El Sauce"", at kanilang pinanghihinayang siya'y hi... | Ang Gobierno lamang ang macapagbibigay ng aking cahingian, pagkatapos ng mahabang panahong laguing p...","26,37,38,4,43,59"
calesa,6,"Sa pagka't kinacailangan niyang mabuhay, at hindi pahintulot sa kanya ang magtrabajo ng mabigat na m... | Ang casayahang hindi naglilicat sa lahat ng panig, ang lubhang maraming cocheng nagpaparoo't pariton... | Samantala'y nangadaratingan ang mga carromata, mga calesa o mga coche ng mga camag-anak, ng mga kaib...","26,27,29,4,42,8"
mapamintacasi,6,"Umulan ang mga paratang, isinumbong na siya'y filibustero at hereje: ang maguing ""hereje"" ay isang c... | Nawalang cabuluhan ang canyang mga pagsisiyam, o ""novenario,"" ang canyang pagdalaw sa Virgeng Caysas... | Pati ng coadjutor ay lumapit ng boong cakimian kay Ibarra, at sa kanya'y inihandog ang lahat ng mga ...","26,28,31,4,6"
capurihang,6,"Ako man, sacali't malaki ang aking casuclaman sa pagluhog sa paggawa ng magaling nino man, humarap a... | Mahiguithiguit sa apat na raang piso ang nagugugol sa kanya sa dalawang misang iyon, datapwat maipal... | Isang lagnat na dumapo sa kanya pagcapanganac (fiebre puerperal) ang siyang nagbigay wacas sa canyan...","37,4,40,42,6"
