token,frequency,capitalized_count,pattern_match,modern_suggestion,confidence,auto_action,sample_contexts
coro,2,0,C_TO_K,koro,HIGH,REVIEW,"['48: Nataon namang naparaan doon ang isang mabalasik na militar, na may iniisip mandin, na inakalang ang kaguluhan ay isa nang pagsalakay ng mga pilibustero, kaya’t piniyapis ng sable ang mga bata, pumasok sa simbahan, at kung hindi nagkasalasalabid sa tabing na nakasabit sa coro ay pinagpupugutan sana ng ulo ang lahat ng naroon.', '49: Yaon ang naging kaigaigaya: maraming kamanyang ang sinunog, maraming awit sa wikang latin, nag-aksaya ng maraming agua bendita: alangalang sa kaniyang kaibigan ay inawit ni Padre Irene, sa coro, ang Dies irae na ang boses ay pahumal; at sumakit ang ulo ng mga nalalapit dahil sa katutugtog ng plegaria.']"
caballero,2,0,C_TO_K,kaballero,HIGH,REVIEW,"['125: Ipahintulot ninyo sa akin, mga kapatid, na sa isang sandali’y maging caballero andante ako upang magtanggol ng walang sukat magsanggalang, ng mga banal na korporasion na nagturo sa atin, at patibayan pang muli ang karugtong ng ibig turan noong sawikain na, bitukang bundat ay nagpupuri sa Dios, na dili iba’t, ang bitukang dayukdok ay magpupuri sa mga prayle.', '140: Nakita ni Isagani na ang kaniyang kaibigan ay matuling lumalayo na taglay ang pagmamadaling nagpapakilala ng tunay na takot at nagpatuloy din nang pagtingin sa nakaaakit na mga bintana, gaya ng caballero de Toggenburg na nag-aantay na dumungaw ang iniibig, na sinabi ni Schiller.']"
caida,2,0,C_TO_K,kaida,HIGH,REVIEW,"['28: Sa gitna ng katahimikang naghahari sa bahay, na nabubulahaw lamang sa ilang mahinang paghihilik na galing sa kabilang silid, ay nakadingig si Basilio ng madalas na yabag sa hagdanan, mga yabag na dumaan sa caida at tungo sa kaniyang kinalalagyan.', '51: Ang malaking caida, na nahiyasan ng mga bulaklak, ay siyang naging kakainan, isang malaking dulang na sukat sa tatlong pu katao ang nasa gitna, at sa mga paligid, natatabi sa mga pader, ay may ilang maliliit na sukat sa dalawa o tatlo katao.']"
cancan,2,0,C_TO_K,kankan,HIGH,REVIEW,"['67: —¡Magkakaroon tayo ng cancan!', '69: —Mangagsasayaw ng cancan, Makaraig.']"
nangakasuot,2,0,UO_TO_O,nangakasot,MEDIUM,REVIEW,"['59: Kabubukas pa lamang ng tabing at naharap sa kaniyang mga mata ang masayang pulutong ng mga taong bukid sa Corneville na nangakasuot ng gorrang bulak at mabibigat na bakyang kahoy ang nasa paa.', '155: Ang mga alila, mga sampu o labing dalawa, na anyong magagaspang, nangakasuot ng librea at may dalang isang sangang maliit sa kamay, ay nangagsilagay sa ilalim ng pahayag na domestiques.']"
suotan,2,0,UO_TO_O,sotan,MEDIUM,REVIEW,"['36: Siya, ang dahil sa nadingig sa Madrid ang pag-uusap ng ukol sa mga daang nilalatagan nang kahoy sa Paris, na noon ay hindi pa ginagawa sa España, ay nagpalagay na gawin sa Maynila, sa paraang maglatag ng mga tabla sa mga lansangan at ipagpako na gaya ng nakikita sa mga bahay-bahay; siya, ang dahil sa mga kasawiang nangyayari sa mga sasakyang dadalawa ang gulong, at upang maiwasan, ay ipinalagay na magtaglay ng tatlo man lamang; siya rin naman, ang samantalang gumaganap sa pagka pangalawang pangulo ng Junta de Sanidad ay nakaisip na wiligan ng panglinis ang lahat ng bagay, sampu ng mga balitang pahatid kawad na galing sa mga bayang may sakit na nakahahawa; siya rin ang, sa pagkahabag sa mga presidiario na nangagsisigawa sa init ng araw at sa pagnanasang makapagtipid ang Pamahalaan sa paggugol sa mga kasuotan noon, ay ipinalagay na suotan na lamang ng isang bahag at pagawin sa gabi at huwag sa umaga.', '44: Ngunit ipinakli ng isang sastre na yamang nakita ng mga mongha si kapitang Tiago na naka prak na umaakyat sa langit, ay dapat suotan ng prak at hindi kailangan ang mga pananggol at mga kasuutang hindi tatagusan: nagpaprak kung tumutungo sa isang sayawan, sa isang pista, at hindi maaasahang hindi gayon din ang matatagpuan niya sa kaitaasan.... at ¡tingnan!']"
carabinero,2,0,C_TO_K,karabinero,HIGH,REVIEW,"['32: Napakalaki ang kapusukan niya ng mga unang araw na iyon, na ang ilan sa kausap-usap sa tindahan ng mga sarisaring kakanin na dinadalaw niyang maminsanminsan ay nangagsisapi sa pangkating liberal, at nagpanggap nang liberal si Don Eulogio Badana, sargento retirado sa carabinero; ang marangal na si Armendia, piloto at matalik na carlista; si Don Eusebio Picote, kawani sa aduana, at si Don Bonifacio Tacon, sapatero at talabartero.', '17: Yaon ang paraan ng mga dating carabinero, na nagsusulot sa mga silong ng bahay ng mga tabako at dahong ipinagbabawal, pagkatapos ay magpapakunwaring manghahalughog at pipilitin ang kahabaghabag na may bahay na sumuhol o magmulta!']"
codillo,2,0,C_TO_K,kodillo,HIGH,REVIEW,"['34: ang taya ay sigurong siguro na, kundi man ang codillo, at natalo pa dahil sa tawag!', '66: —At ito,—ang patuloy ni Simoun na tinangki sa balikat ang General—ang ibabayad nito sa akin sa bawat limang tantos ay isang vale na katimbang ng limang araw na pagkakabilanggo, sa isang solo ay limang buwan, sa isang codillo ay isang utos na pagpapatapon, na walang nakatalang pangalan, sa isang bola.... ay isang utos sa guardia sibil na makabaril sa daan sa taong parurusahan, samantalang ipinaghahatiran, at iba pa.']"
caracteres,2,0,C_TO_K,karacteres,HIGH,REVIEW,"['12: Ang Buena Tinta ay galing sa kaniyang pakikipagkaibigan kay Ben-Zayb, nang ito, sa dalawang matunog na pakipagtunggali na inabot ng buwanan at lingguhan sa mga tudling ng pahayagan ukol sa kung nararapat o hindi gumamit ng sombrerong hongo, de copa o salakot, at kung ang paggamit ng ukol sa marami ng salitang caracter ay dapat maging caracteres at hindi caracteres, upang patibayan ang kaniyang mga pangangatwiran ay lumulusot kailan man sa mga salitang “constanos de buena tinta”, “lo sabemos de buena tinta” at iba pa.', '12: Ang Buena Tinta ay galing sa kaniyang pakikipagkaibigan kay Ben-Zayb, nang ito, sa dalawang matunog na pakipagtunggali na inabot ng buwanan at lingguhan sa mga tudling ng pahayagan ukol sa kung nararapat o hindi gumamit ng sombrerong hongo, de copa o salakot, at kung ang paggamit ng ukol sa marami ng salitang caracter ay dapat maging caracteres at hindi caracteres, upang patibayan ang kaniyang mga pangangatwiran ay lumulusot kailan man sa mga salitang “constanos de buena tinta”, “lo sabemos de buena tinta” at iba pa.']"
escopeta,2,0,C_TO_K,eskopeta,HIGH,REVIEW,"['80: Dahil doon at sa dahilang ibinalita ni Simoun na ang mga tulisan ay maraming escopeta, baril at rebolber at sa gayong mga tao’y hindi maaaring makalaban ang nag-iisa kahit na may sandata, ay lalagda ng bagong utos ang Kapitang General na ukol sa mga “pistolas de salon” upang maiwasan na ang mga tulisan ay magkaroon ng armas.', '40: —ani Ben-Zayb na nagtatala;—apat o limangpung tulisang sa paraang taksil.... mga rebolber, itak, escopeta, pistola.... leong nananandata, silla.... putolputol.... sinugatan nang walang kaawa-awa... sampung libong piso......']"
pinagduop,2,0,UO_TO_O,pinagdop,MEDIUM,REVIEW,"['41: —ang patuloy ng ina na pinagduop ang kamay—¡panganganlan kang pilibistiero at bibitayin ka!', '84: —ani Basilio na pinagduop ang kamay—¡nahuli kayo, lubhang huli!']"
canon,2,0,C_TO_K,kanon,HIGH,REVIEW,"['18: Nakaraan ang isa pang taon at dumating ang isa pang mabuting ani, at dahil sa paganito o pagayong sanhi ay ginawa ng mga prayle na limang pung piso ang canon, na pinagbayaran naman ni Tales upang huwag silang magkagalit at sa dahilang umasang maipagbibili sa mabuting halaga ang asukal.', '33: Nang umabot sa dalawang daang piso ang canon ay hindi na nagkasiya si kabesang Tales sa pagkamot sa ulo at pagbubuntong hininga: tumutol at bumulongbulong.']"
clasico,2,0,C_TO_K,clasiko,HIGH,REVIEW,"['16: Samantalang nanagumpay ang pagkakahilig sa pag-aaral sa mga clasico (liwanagin ninyong mabuti, mga binata), ang apian ay naging gamot lamang, at kung hindi, ay, sabihin ninyo sa akin kung sino ang nangagsisihitit.', '19: At ang di kasiyahang loob na lalong clasico ay nabakas sa mukha niyang epicureo na ahit na ahit.']"
chaqueta,2,0,QU_TO_K,chaketa,HIGH,REVIEW,"['60: Nakatayong ang paa’y nakabikaka upang makapanimbang wari, ang mga kamay ay nakapasok sa mga alapot ng kaniyang chaqueta.', '25: Tinawag na ngang kabesang Tales, nangailangang magpagawa ng chaqueta, bumili ng isang sambalilong pieltro at humanda sa paggugugol.']"
caldero,2,0,C_TO_K,kaldero,HIGH,REVIEW,"['32: Ibinibigay na ng lutuang putik ang kaniyang bigas sa caldero.', '57: Ang kasangkapang lupa, sa pakikipaglaban sa mga caldero, ay may nakahahanga ring anyo, sa pagkadurog: taglay niya ang kaigtingan ng pagdumog ng walang pag-asa.']"
facultad,2,0,C_TO_K,fakultad,HIGH,REVIEW,"['79: Gaya rin ng dating pagsusumigasig, o higit pa kung mangyayari, dinaan ng binata ang mga taong pag-aaral ng “facultad”, at mula pa sa ikatlong taon ay nanggamot na siya, na pinalad naman, bagay na hindi lamang pagsisimula ng isang magandang haharapin kundi nagbibigay din naman sa kaniya ng sapat na gugugulin upang makapagbihis ng mainam-inam at makapag-ipon pa ng kaunti.', '19: Sa dako pa roon, ang may katandaan, mga nag-aaral ng facultad, na, mga sutlang midias at sapatilyang may burda ang suot, ay nangaglilibang sa pagpapagalit sa mga batang pinipirol sa tainga na namumula na tuloy dahil sa kapipingot; dalawa o tatlo ang pumipigil sa isang maliit na sumisigaw, umiiyak at ipinagtatanggol sa pamagitan ng kasisipa ang tali ng kaniyang salawal: ibig lamang na iwan siyang kagaya noong sumipot sa liwanag.... pumapalag at umiiyak.']"
cola,2,0,C_TO_K,kola,HIGH,REVIEW,"['29: —Sa taong darating ay magsusuot ka na ng de cola at paparoon ka sa Maynila, upang mag-aral na gaya ng mga dalaga sa bayan!', '37: Ang suot ay isang mainam na kagayakang sutla; mahaba ang cola, na may burdang bulaklak na namumukod sa ibabaw.']"
curato,2,0,C_TO_K,kurato,HIGH,REVIEW,"['73: —Huwag po kayong magalit, binata,—ang sabi:—wala akong masamang tangka, ngunit sa dahilang pinatibayan sa akin, na ang lahat ng curato ay nasa kamay ng mga klerigong taga rito, ani ko, ay: ang mga prayle ay nagpapakamatay sa isang curato at pinasasalamatan na ng mga pransiskano yaong pinakamaralita, kaya’t pag ganyang ipinauubaya nila sa mga klerigo ay sa dahilang doon ay hindi kilala ang mukha ng hari.', '73: —Huwag po kayong magalit, binata,—ang sabi:—wala akong masamang tangka, ngunit sa dahilang pinatibayan sa akin, na ang lahat ng curato ay nasa kamay ng mga klerigong taga rito, ani ko, ay: ang mga prayle ay nagpapakamatay sa isang curato at pinasasalamatan na ng mga pransiskano yaong pinakamaralita, kaya’t pag ganyang ipinauubaya nila sa mga klerigo ay sa dahilang doon ay hindi kilala ang mukha ng hari.']"
magtuos,2,0,UO_TO_O,magtos,MEDIUM,REVIEW,"['65: ¡Saka na tayo magtuos sa huli!', '69: Saka na tayo magtuos.']"
riquisa,1,0,QU_TO_K,rikisa,HIGH,REVIEW,['76: ¡Baka pa de riquisa y de encontra!']
Boccacio,1,1,C_TO_K,Bockacio,MEDIUM,REVIEW,"['139: Alisin ninyo ang prayle, mga ginoo, at makikita ninyong mayayanig ang kapamayanang pilipino, dahil sa kakulangan ng malalakas na balikat at mabalahibong hita; ang pamumuhay pilipino ay makakainip kung wala ang nakapagpapasayang prayle na mapagbiro at malikot, kung wala ang mumunting aklat, at mga sermon na nakapagpapaihit ng tawa, kung wala ang mainam na pagkakaibayo na malalaking hangarin sa mga bungong walang kabuluhan, kung wala ang tunay na pagtatanghal, sa araw-araw, ng mga kuwento ni Boccacio at ni Lafontaine!']"
clinica,1,0,C_TO_K,clinika,HIGH,REVIEW,"['16: Isang guro sa clinica ang sumalubong sa kaniya, at matapos na mapigilan siya sa balikat na lubhang mahiwaga (ang guro ay kaibigan niya), ay marahan siyang tinanong:']"
Facultad,1,1,C_TO_K,Fakultad,MEDIUM,REVIEW,"['47: Nahalal sa tulong ng lakas ng Vice-Rector, na hindi na hinilingan ng anomang karapatan liban sa lubos na pag-alinsunod sa corporacion, at inaaring isang tiktik at mangsusumbong ng ibang guro sa Facultad.']"
capista,1,0,C_TO_K,kapista,HIGH,REVIEW,"['56: Tomas, at ito’y sa isang capista naman nakabalita.']"
nagmumuog,1,0,UO_TO_O,nagmumog,MEDIUM,REVIEW,"['42: Iyon ay isang ulos na biglang lumusot samantalang nagmumuog, gaya ng tawag sa esgrima.']"
corruptissima,1,0,C_TO_K,korruptissima,HIGH,REVIEW,"['109: Upang pigilin ang isang munting kasamaan, ay naglalagda ng maraming kautusan na nagiging sanhi ng lalo pang maraming kasamaan: corruptissima in republica plurimae leges, ang sabi ni Tacito.']"
escotilla,1,0,C_TO_K,eskotilla,HIGH,REVIEW,['105: —ang patuloy ni Simoun na humandang dumaan sa escotilla upang pumanaog sa kamara—ang nasabi ay nasabi na.']
complice,1,0,C_TO_K,komplice,HIGH,REVIEW,"['74: no jabla vos puelte, ñora, baka pa de queda vos complice.']"
corredor,1,0,C_TO_K,korredor,HIGH,REVIEW,['166: Binuksan ni Padre Fernandez ang pinto at sinundan siya ng tingin hanggang nakaliko sa corredor.']
nequiores,1,0,QU_TO_K,nekiores,HIGH,REVIEW,"['39: Noong aming kapanahunan ay nag-aaral kami ng latin, sapagka’t ang lahat ng aming mga aklat ay nasa wikang latin; ngayon ay kaunting latin na lamang ang inyong pinag-aaralan, ngunit wala kayong mga aklat sa wikang latin; sa isang dako naman, ang mga aklat ninyo’y nasa wikang kastila at hindi itinuturo ang wikang ito: aetas parentum pejor avis tulit nos nequiores!']"
corporaciones,1,0,C_TO_K,korporaciones,HIGH,REVIEW,"['124: Hindi sumisilang ang isang araw na hindi umuugong ang isang pagbaka, na hindi nadingig ang isang masamang parunggit sa mga reverendas, venerandas at predicandas corporaciones, na walang sukat magtanggol at walang sukat kumatig.']"
quema,1,0,QU_TO_K,kema,HIGH,REVIEW,['75: ¡Ya quema yo nga el libro que ya dale prestau conmigo!']
chapdiqui,1,0,QU_TO_K,chapdiki,HIGH,REVIEW,"['13: Kung ang araw ay parisukat sana ng sumilang at ang mga Kristo ay mga nakapantalon, ay hindi marahil makabakla kay Quiroga na di gaya noon: inari niyang liampo marahil ang araw at ang mga santong larawan ay mga manglalaro ng chapdiqui na nangahubaran; ngunit ¡ang hindi pagsipot ng mga prayle na nataon pa naman sa pagtanggap niya ng mga bagong bagay!']"
castaño,1,0,C_TO_K,kastaño,HIGH,REVIEW,"['22: —Magagawa po, inaantay na lamang namin ngayon o bukas ang pahintulot—ang sagot ni Isagani—si Padre Irene, na marahil ay nakita ninyo sa itaas, na hinandugan namin ng dalawang kabayong castaño, ay nangako na sa amin.']"
epicureo,1,0,C_TO_K,epikureo,HIGH,REVIEW,['19: At ang di kasiyahang loob na lalong clasico ay nabakas sa mukha niyang epicureo na ahit na ahit.']
republica,1,0,C_TO_K,republika,HIGH,REVIEW,"['109: Upang pigilin ang isang munting kasamaan, ay naglalagda ng maraming kautusan na nagiging sanhi ng lalo pang maraming kasamaan: corruptissima in republica plurimae leges, ang sabi ni Tacito.']"
predicandas,1,0,C_TO_K,predikandas,HIGH,REVIEW,"['124: Hindi sumisilang ang isang araw na hindi umuugong ang isang pagbaka, na hindi nadingig ang isang masamang parunggit sa mga reverendas, venerandas at predicandas corporaciones, na walang sukat magtanggol at walang sukat kumatig.']"
Loco-loco,1,1,C_TO_K,Loko-loko,MEDIUM,REVIEW,"['79: —Loco-loco tambien aquel Isagani,—ang sabing namumuhi ng nag-aaral;—no sana de cogi con ele, ta anda pa presenta!']"
famelica,1,0,C_TO_K,famelika,HIGH,REVIEW,"['120: “Si tripa plena laudat Deum, tripa famelica laudabit fratres; kung ang bitukang bundat ay nagpupuri sa Dios, ang bitukang dayukdok ay magpupuri sa mga prayle.']"
Corporacion,1,1,C_TO_K,Korporacion,MEDIUM,REVIEW,"['8: Nang aanihin na ang unang tanim ay inangkin ang mga lupang iyon ng isang “Corporacion” ng mga prayle na may pag-aari sa bayang kalapit, na ang ikinakatwiran ay nasa sa loob ng kanilang mga hanganan, at upang mapatunayan ang gayon ay itinayo noon din ang kanilang mga muhon.']"
collar,1,0,C_TO_K,kollar,HIGH,REVIEW,"['83: Si Serpolette, kahit hindi iniiwan ang anyo niyang makisig na babae, ay tumingin sa unang pumagakpak at ginanti ito ng isang ngiti, na nagpakita ng maliliit niyang ngipin na wari’y isang collar na perlas na nakasilid sa isang lalagyang tersiopelong pula.']"
comment,1,0,C_TO_K,komment,HIGH,REVIEW,"['97: —Mais, comment!']"
coulisses,1,0,C_TO_K,koulisses,HIGH,REVIEW,['104: Ang masayang si Lily ay lubhang enchantee sa pagkakatagpo sa Maynila sa isang dating kaibigan na nagpapaalaala sa kaniya ng mga coulisses ng dulaan ng Grande Opera.']
Confusio,1,1,C_TO_K,Konfusio,MEDIUM,REVIEW,['64: Kung ako’y mapapasakaintsikan at malalagay ako sa gayong kagipitan ang una ko munang tatawagan ay yaong lalong hindi kilalang santo sa calendaryo kay sa kay Confusio o Budha.']
calendaryo,1,0,C_TO_K,kalendaryo,HIGH,REVIEW,['64: Kung ako’y mapapasakaintsikan at malalagay ako sa gayong kagipitan ang una ko munang tatawagan ay yaong lalong hindi kilalang santo sa calendaryo kay sa kay Confusio o Budha.']
domestico,1,0,C_TO_K,domestiko,HIGH,REVIEW,"['144: —Ang kahulugan ng servantes ay mga sirviente, ang domestiques ay domestico....']"
Domestiques,1,1,QU_TO_K,Domestikes,MEDIUM,REVIEW,['148: —Domestiques ang mga domesticado o napaamo na: ¿hindi ba ninyo napupuna na ang ilan ay may astang taong gubat?']
domesticado,1,0,C_TO_K,domestikado,HIGH,REVIEW,['148: —Domestiques ang mga domesticado o napaamo na: ¿hindi ba ninyo napupuna na ang ilan ay may astang taong gubat?']
Casa,1,1,C_TO_K,Kasa,MEDIUM,REVIEW,['212: —¡O taga dulot-kailangan ng Real Casa!']
Calderon,1,1,C_TO_K,Kalderon,MEDIUM,REVIEW,"['223: —At kayo na isang makata na umaalinsunod sa tunog at sukat, anak ng mga Musa—ang patuloy ni Sandoval na ikinumpay ng magandang kilos ang kamay, na waring binati sa abot ng tingin ang siyam na magkakapatid—¿maaakala baga ninyo na sa isang wikang napakasalat at walang katunogtunog na gaya ng pranses ay mangyayaring magkaroon ng mga makatang napakalalaking gaya ng ating mga Garcilaso, ng ating mga Herrera, ng ating mga Espronceda at mga Calderon?']"
nabuo,1,0,UO_TO_O,nabo,MEDIUM,REVIEW,"['225: —Si Victor Hugo, kaibigang Pecson, si Victor Hugo, sakali’t makata, ay sapagka’t utang niya sa España.... sapagka’t kilala na, isang bagay na hindi mapag-aalinlanganan, bagay na tinatanggap ng sampung mga pranses na nangaiingit sa España, na kung si Victor Hugo ay may mataas na pag-iisip, kung makata, ay sa dahilang sa Madrid siya nanirahan noong kaniyang kabataan, doon nasimsim ang mga unang buko ng pag-iisip, doon nabuo ang kaniyang utak, doon nagkakulay ang kaniyang paghahaka, ang kaniyang puso’y naayos at sumipot ang mga magagandang buko ng kaniyang pagkukuro.']"
Custodining,1,1,C_TO_K,Kustodining,MEDIUM,REVIEW,['235: Custodining.']
corporaciong,1,0,C_TO_K,korporaciong,HIGH,REVIEW,"['250: —At upang makitang tayo’y kalahok sa pamamahala sa akademia—ang patuloy ni Makaraig—ay ipinagaganap sa atin ang paniningil ng mga ambagan at abuloy, na katungkulan nating ibigay sa isang ingat-yaman na ihahalal ng “corporaciong” mamamahala, at ang ingat-yamang iyon ay magkakaloob sa atin ng katibayan ng pagkakatanggap....']"
Nagsuot,1,1,UO_TO_O,Nagsot,MEDIUM,REVIEW,"['34: Nagsuot lalaki at lumigid sa ungos ng Cabo, sa pagparito, at humarap sa Ilustrisima na hinilingang tumupad sa pangako.']"
acorazado,1,0,C_TO_K,akorazado,HIGH,REVIEW,"['103: Ang mga acorazado ay siyang magbabantay sa ating mga baybayin: ang pilipino at ang kastila ay mag-uunahan sa pagpupunyaging gapiin ang anomang pagdagsa ng mga taga ibang lupain, upang ipagtanggol ang inyong mga tahanan at bayaan kayong matuwa at mabuhay ng mapayapa, na ginigiliw at iginagalang.']"
Macanista,1,1,C_TO_K,Makanista,MEDIUM,REVIEW,['1: Ang loob kabahayan ng “Panciteria Macanista de buen gusto” ng gabing iyon ay may anyong di pangkaraniwan.']
CUSTODIO,1,1,C_TO_K,KUSTODIO,MEDIUM,REVIEW,['4: ¡LUMUWALHATI SI CUSTODIO DAHIL SA KANIYANG MAÑGA KALIKSIHAN AT PANSIT SA LUPA SA MAÑGA BINATANG MAY MABUBUTING KALOOBAN!']
Pacifico,1,1,C_TO_K,Pacifiko,MEDIUM,REVIEW,"['118: Nang mangyari ang mga kaguluhan noong 72 ay ipinanganib ni Padre Florentino na siya’y mapuna dahil sa kalakihan ng kinikita ng kaniyang kurato, at sa dahilang siya’y payapang tao, ay humingi ng pagpapahinga at mula na noon ay nanirahan nang wari’y isang taong karaniwan sa mga lupain nilang mag-aanak na nasa baybayin ng dagat Pacifico.']"
encontra,1,0,C_TO_K,enkontra,HIGH,REVIEW,['76: ¡Baka pa de riquisa y de encontra!']
Cannes,1,1,C_TO_K,Kannes,MEDIUM,REVIEW,['25: —Marahil ay ang mga ipinadala ni Anibal ng matapos ang labanan sa Cannes!']
cancans,1,0,C_TO_K,kankans,HIGH,REVIEW,"['66: Quoi v’la tous les cancans d’la s’maine!.... ang awit ni Gertrude, isang magandang dalaga na sumusulyap ng makahulugang sulyap sa Kapitan General.']"
magmumuog,1,0,UO_TO_O,magmumog,MEDIUM,REVIEW,"['88: Kami ni kabesang Tales ay magtatagpo sa siyudad at ito’y aming kukunin, at kayo sa mga arabal ay tatayo kayo sa mga tulay, magmumuog kayo roon, hahandang sumaklolo sa amin at patayin ninyo, hindi lamang ang laban sa panghihimagsik, kung hindi ang lahat ng lalaking ayaw sumamang manandata!']"
Velazquez,1,1,QU_TO_K,Velazkez,MEDIUM,REVIEW,"['48: Tunay nga’t nakadingig siya ng pag-uusap na ukol sa mga artistang taga ibang lupa na gaya nina Rafael, Murillo, Velazquez, ngunit hindi niya maisip kung papano ang gagawing pakikipagalam sa mga taong yaon, at saka ang isa pa’y baka mangagsilabas na may laban sa pamahalaan.....']"
Calipso,1,1,C_TO_K,Kalipso,MEDIUM,REVIEW,"['36: Ngunit ang asawa, sindak sa nagawang kasalanan, na sa kaniya’y waring isang kakilakilabot na pagpatay sa kabiyak ng puso ang gayong nagawa, habol ng mga furia sa tahanan (ang dalawang aso at isang loro sa bahay), ay nagtatakbo ng buong tuling ipinahintulot ng kaniyang pilay, lumulan sa unang sasakyang natagpuan, sumakay sa unang bangkang nakita sa isang ilog, at, Ulises na pilipino, nagpagalagala sa mga bayan-bayan, sa isa’t isang lalawigan, sa isa’t isang pulo, na pinamumuntutan ng kaniyang Calipso, na naka quevedo, na nakayayamot sa bawat makasama sa paglalakbay.']"
volcan,1,0,C_TO_K,volkan,HIGH,REVIEW,['1: “Danzar sobre un volcan.']
Chica,1,1,C_TO_K,Chika,MEDIUM,REVIEW,"['10: —¡Chica, que filadelfio esta el tio!']"
Psiquis,1,1,QU_TO_K,Psikis,MEDIUM,REVIEW,['14: —¡Si Psiquis at si Cupido na dumating sa Olimpo!']
Cupido,1,1,C_TO_K,Kupido,MEDIUM,REVIEW,['14: —¡Si Psiquis at si Cupido na dumating sa Olimpo!']
comedor,1,0,C_TO_K,komedor,HIGH,REVIEW,"['93: Nakita sa salas ang maraming taong nakaligid kay Simoun at pinagmamasdan ang lampara; nakadingig ng mga maliligayang bati, mga bulalas na paghanga; ang mga salitang “comedor estreno” ay naulit-ulit; nakitang ngumiti ang General at kinurokuro niyang sa gabing iyon gagawin ang unang paggamit, alinsunod sa itinakda ng mag-aalahas, at tunay ngang sa dulang na hahapunan ng General.']"
cuartilla,1,0,C_TO_K,kuartilla,HIGH,REVIEW,"['22: Ginising siya nang nag-uumaga, na ang mga cuartilla ay ibinabalik at may isang sulat ng namamahala, na sinasabing ipinagbawal na mahigpit ng General na pag-usapan ang nangyari at ipinagbilin na pabulaanan ang kahit anong sabisabihan at usap-usapang kumalat, na, ang lahat ay ipalagay na salisalita lamang, mga palangha at mga pakapakana.']"
cuchillo,1,0,C_TO_K,kuchillo,HIGH,REVIEW,"['29: Kinibit ng namamahala ang balikat: ipinagbawal ng General, sapagka’t kung mapag-alaman na pitong malalaking mga dioses ay nagpabayang mapagnakawan ng isang bala na, samantalang ikinukumpay ang mga tenedor at cuchillo, ay mapapanganib ang tibay ng Inang-bayan!']"
Castelar,1,1,C_TO_K,Kastelar,MEDIUM,REVIEW,"['45: Sa pagmumura ay maaaring lumawig pa, maaaring banggitin ang pananampalataya, ang pananalig, ang kaawaan, ang tugtog ng mga kampana, ang utang ng mga indio sa mga prayle, malungkot sa sarili at gumamit ng maraming banggit at mga himig na ayos Castelar.']"
electrica,1,0,C_TO_K,electrika,HIGH,REVIEW,"['65: Sa pagkakawangki sa anyo ni Simoun ng mga tinurang ayos ay ipinalagay na hindi katotohanan ang mga pahayag na iyon, kaya’t binigyan ng katakottakot na pahirap ang magnanakaw, sampu ng makina electrica, dahil sa gayong kahalayhalay na tungayaw.']"
Carolino’y,1,1,C_TO_K,Karolino’y,MEDIUM,REVIEW,"['92: Matuling nangagsipangunyapit ang mga sundalo, na inilagay sa dulo ng baril ang mga bayoneta at laan sa isang labanang subuan; ang Carolino’y siyang tanging dahandahan ang lakad, na ang tingin ay pasulingsuling, malamlam, na inaalala ang sigaw ng taong nabuwal dahil sa tama ng punlo.']"
Capellan,1,1,C_TO_K,Kapellan,MEDIUM,REVIEW,['6: “Minamahal kong Capellan: Katatanggap ko pa lamang ng isang telegrama ng komandante na ang sinasabi’y: español escondido casa Padre Florentino cojera remitira vivo muerto.']
escondido,1,0,C_TO_K,eskondido,HIGH,REVIEW,['6: “Minamahal kong Capellan: Katatanggap ko pa lamang ng isang telegrama ng komandante na ang sinasabi’y: español escondido casa Padre Florentino cojera remitira vivo muerto.']
quibus,1,0,QU_TO_K,kibus,HIGH,REVIEW,"['17: Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kalipon, at dapat nga namang magkagayon, sapagka’t tignan nga naman ninyo: magkalipon doon ang tatlong prayleng nananalig na ang buong mundo’y lalakad ng patiwarik sa araw na sila’y lumakad ng matuwid; isang walang pagal na Don Custodio na payapang natutulog, na siyangsiya ang loob sa kaniyang mga munakala; isang walang pagod na manunulat na gaya ni Ben-Zayb (katimbang ng Ibañez) na nag-aakalang kung kaya’t may nag-iisip sa Maynila ay sa dahilang siya’y nag-iisip; isang canonigo na gaya ni Padre Irene na nagbibigay dangal sa mga pari dahil sa mabuti ang pagkakaahit ng kaniyang mukhang kinatatayuan ng isang ilong hudio at dahil sa kaniyang sotanang sutla na mainam ang tabas at maraming botones; at isang mayamang mag-aalahas na gaya ni Simoun na siya manding tanungan at nag-uudyok sa mga galaw ng Kapitan General; akalain nga ba namang magkatatagpo ang mga haliging ito na sine quibus non ng bayan, magkapipisan doon at maligayang nag-uusap, na hindi nabibighaning malugod sa isang tumakwil sa pagkapilipina, na nagpapula ng buhok, ¡bagay ng sukat makabugnot sa isang Joba!']"
cogera,1,0,C_TO_K,kogera,HIGH,REVIEW,"['14: Hindi siya napigil ni Padre Florentino: walang nahita sa pagpapaliwanag sa kaniya na ang ibig marahil sabihin ng salitang cojera ay cogera; na ang kastilang nagtatago ay hindi mangyayaring si Don Tiburcio kundi si Simoun, na may dalawang araw pa lamang na kararating, na sugatan at waring pinag-uusig, na huminging patuluyin.']"
